"","lulc_name","total_area","protected_area","target_fraction","target_area","gap_area","surplus_area","protected_fraction","gap_fraction"
"1","agricultural",2036901884.86954,6802040.23119002,0.05,101845094.243477,95043054.0122872,0,0.00333940494714877,0.0466605950528512
"2","forest",1656973499.78586,92392629.758562,0.1,165697349.978586,73304720.2200237,0,0.0557598717001223,0.0442401282998777
"3","water",415810287.777052,219090.228854914,0.2,83162057.5554104,82942967.3265555,0,0.000526899490693663,0.199473100509306
"4","wetland",372328116.227691,1483020.84893623,0.2,74465623.2455382,72982602.3966019,0,0.00398310195845999,0.19601689804154
"5","global_0.1_prot",4489519295.41588,100896781.067543,0.1,448951929.541588,348055148.474045,0,0.022473849521165,0.077526150478835
